cid,spider_ident_f,spider_ident_c
5445,https://www.feixiaohao.com/currencies/minexcoin/,https://coincheckup.com/coins/minexcoin
3126,https://www.feixiaohao.com/currencies/wandx/,https://coincheckup.com/coins/wandx
1328,https://www.feixiaohao.com/currencies/golos/,https://coincheckup.com/coins/golos
717,https://www.feixiaohao.com/currencies/creativecoin/,https://coincheckup.com/coins/creativecoin
2294,https://www.feixiaohao.com/currencies/privatix/,https://coincheckup.com/coins/privatix
2083,https://www.feixiaohao.com/currencies/nexium/,https://coincheckup.com/coins/nexium
931,https://www.feixiaohao.com/currencies/datarius-credit/,https://coincheckup.com/coins/datarius-credit
2651,https://www.feixiaohao.com/currencies/suncontract/,https://coincheckup.com/coins/suncontract
5498,https://www.feixiaohao.com/currencies/gochain/,https://coincheckup.com/coins/gochain
5281,https://www.feixiaohao.com/currencies/hpb/,https://coincheckup.com/coins/high-performance-blockchain
545,https://www.feixiaohao.com/currencies/cashbet-coin/,https://coincheckup.com/coins/cashbet-coin
5497,https://www.feixiaohao.com/currencies/siacoin/,https://coincheckup.com/coins/siacoin
2608,https://www.feixiaohao.com/currencies/sisa/,https://coincheckup.com/coins/sisa
118,https://www.feixiaohao.com/currencies/alis/,https://coincheckup.com/coins/alis
2128,https://www.feixiaohao.com/currencies/ont/,https://coincheckup.com/coins/ontology
1785,https://www.feixiaohao.com/currencies/decentraland/,https://coincheckup.com/coins/decentraland
894,https://www.feixiaohao.com/currencies/dock/,https://coincheckup.com/coins/dock
1991,https://www.feixiaohao.com/currencies/nebula-ai/,https://coincheckup.com/coins/nebula-ai
1197,https://www.feixiaohao.com/currencies/fitrova/,https://coincheckup.com/coins/fitrova
5221,https://www.feixiaohao.com/currencies/idex-membership/,https://coincheckup.com/coins/idex-membership
2829,https://www.feixiaohao.com/currencies/tokenomy/,https://coincheckup.com/coins/tokenomy
418,https://www.feixiaohao.com/currencies/bancor/,https://coincheckup.com/coins/bancor
34,https://www.feixiaohao.com/currencies/the-abyss/,https://coincheckup.com/coins/the-abyss
1258,https://www.feixiaohao.com/currencies/daostack/,https://coincheckup.com/coins/daostack
2891,https://www.feixiaohao.com/currencies/traxia/,https://coincheckup.com/coins/traxia
194,https://www.feixiaohao.com/currencies/maecenas/,https://coincheckup.com/coins/maecenas
1115,https://www.feixiaohao.com/currencies/experty/,https://coincheckup.com/coins/experty
5330,https://www.feixiaohao.com/currencies/b2bx/,https://coincheckup.com/coins/b2bx-b2b
